GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.exception,AcessoNegadoException,0,4,0,0,0,2,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.exception,RegraDeNegocioException,0,4,0,0,0,2,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.exception,RecursoNaoEncontradoException,0,11,0,0,0,3,0,2,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Matricula,0,9,0,0,0,4,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Post,0,32,0,0,0,11,0,2,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Missao,0,33,0,0,0,10,0,3,0,3
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Curso,0,22,0,4,0,5,0,4,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,RespostaPost,0,12,0,0,0,5,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Nota,0,26,0,2,0,8,0,3,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Desafio,0,31,0,2,0,8,0,3,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Usuario,0,28,0,4,0,7,0,5,0,3
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Tentativa,0,21,0,0,0,8,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,ProgressoAluno,0,26,0,2,0,9,0,3,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.domain,Papel,0,15,0,0,0,3,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web,JogoController,0,67,0,2,0,14,0,7,0,6
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web,MissaoController,0,35,0,0,0,9,0,3,0,3
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web,RestExceptionHandler,0,40,0,0,0,7,0,6,0,6
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web.dto,RankingItemResponse,0,28,0,0,0,5,0,2,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web.dto,RespostaRequest,0,6,0,0,0,1,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web.dto,DesafioResponse,0,28,0,0,0,6,0,2,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web.dto,TentativaResponse,0,32,0,0,0,7,0,2,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web.dto,MissaoResponse,0,36,0,0,0,7,0,2,0,2
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web.dto,ProgressoResponse,0,12,0,0,0,1,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.web.dto,ErroResponse,0,12,0,0,0,1,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service,NotaService,0,165,0,16,0,31,0,18,0,10
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service,ForumService,0,167,0,16,0,31,0,17,0,9
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service,MissaoService,0,260,0,36,0,52,0,28,0,10
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service,JogoService,0,179,0,12,0,33,0,15,0,9
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service,ForumService.Acesso,0,9,0,0,0,1,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service.dto,ResultadoResposta,0,12,0,0,0,1,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service.dto,NovaMissaoRequest,0,12,0,0,0,1,0,1,0,1
grupo_6_gameeducator,org.facens.grupo_6_gameeducator.service.dto,NovoDesafioRequest,0,15,0,0,0,1,0,1,0,1
